departure,arrival,airplane_number,,,,letter,航线,,,,航班,航线,机场
AAT,CGO,ZH9302,,AATCGO,,CZ9130,TYNSHA,#NAME?,,,CZ9130,TYNSHA,太原武宿国际机场-上海虹桥国际机场
AAT,URC,CZ6842,,AATURC,,CZ9134,TYNSHA,,,,CZ9134,TYNSHA,太原武宿国际机场-上海虹桥国际机场
AAT,URC,CZ6844,,AATURC,,CZ9132,TYNSHA,,,,CZ9132,TYNSHA,太原武宿国际机场-上海虹桥国际机场
AAT,URC,CZ6846,,AATURC,,CZ9136,TYNSHA,,,,CZ9136,TYNSHA,太原武宿国际机场-上海虹桥国际机场
AAT,URC,GS7558,,AATURC,,MU9164,TYNSHA,,,,MU9164,TYNSHA,太原武宿国际机场-上海虹桥国际机场
AAT,XIY,3U8864,,AATXIY,,CA3206,TYNSHA,,,,CA3206,TYNSHA,太原武宿国际机场-上海虹桥国际机场
AAT,XIY,MU9652,,AATXIY,,FM9164,TYNSHA,,,,FM9164,TYNSHA,太原武宿国际机场-上海虹桥国际机场
AAT,YIN,CZ6836,,AATYIN,,MU2404,TYNSHA,,,,MU2404,TYNSHA,太原武宿国际机场-上海虹桥国际机场
AAT,YIN,G54322,,AATYIN,,MU2406,TYNSHA,,,,MU2406,TYNSHA,太原武宿国际机场-上海虹桥国际机场
ACX,CAN,CZ3924,,ACXCAN,,MU2408,TYNSHA,,,,MU2408,TYNSHA,太原武宿国际机场-上海虹桥国际机场
ACX,CGQ,G52753O,,ACXCGQ,,MU2410,TYNSHA,,,,MU2410,TYNSHA,太原武宿国际机场-上海虹桥国际机场
ACX,CKG,G54384,,ACXCKG,,HO1134,TYNSHA,,,,HO1134,TYNSHA,太原武宿国际机场-上海虹桥国际机场
ACX,CSX,GJ8664,,ACXCSX,,HO1132,TYNSHA,,,,HO1132,TYNSHA,太原武宿国际机场-上海虹桥国际机场
ACX,CTU,EU2720,,ACXCTU,,HO1724,TYNSHA,,,,HO1724,TYNSHA,太原武宿国际机场-上海虹桥国际机场
ACX,HGH,GJ8664,,ACXHGH,,HO1726,TYNSHA,,,,HO1726,TYNSHA,太原武宿国际机场-上海虹桥国际机场
ACX,HGH,GJ8818,,ACXHGH,,MU3924,TYNSHA,,,,MU3924,TYNSHA,太原武宿国际机场-上海虹桥国际机场
ACX,KMG,MU9712,,ACXKMG,,MU3926,TYNSHA,,,,MU3926,TYNSHA,太原武宿国际机场-上海虹桥国际机场
ACX,KWE,G52602,,ACXKWE,,HU7375,TYNSHA,,,,HU7375,TYNSHA,太原武宿国际机场-上海虹桥国际机场
ACX,KWE,G52610,,ACXKWE,,CA3432,TYNSHE,,,,CA3432,TYNSHE,太原武宿国际机场-沈阳桃仙国际机场
ACX,KWE,G52612,,ACXKWE,,3U8849,TYNSHE,,,,3U8849,TYNSHE,太原武宿国际机场-沈阳桃仙国际机场
ACX,KWE,G52614,,ACXKWE,,MF1113,TYNSHE,,,,MF1113,TYNSHE,太原武宿国际机场-沈阳桃仙国际机场
ACX,KWE,G52616,,ACXKWE,,BK2993,TYNSHE,,,,BK2993,TYNSHE,太原武宿国际机场-沈阳桃仙国际机场
ACX,KWE,G52626,,ACXKWE,,CZ3233,TYNSHE,,,,CZ3233,TYNSHE,太原武宿国际机场-沈阳桃仙国际机场
ACX,KWE,G54383,,ACXKWE,,ZH9713,TYNSHE,,,,ZH9713,TYNSHE,太原武宿国际机场-沈阳桃仙国际机场
ACX,NAY,KN5202,,ACXNAY,,MU3719,HFEFUO,,,,MU3719,HFEFUO,合肥新桥国际机场-佛山沙堤机场
ACX,NGB,8L9825,,ACXNGB,,KN2801,HFEFUO,,,,KN2801,HFEFUO,合肥新桥国际机场-佛山沙堤机场
ACX,PVG,MU9711,,ACXPVG,,CA4278,DOYCGO,,,,CA4278,DOYCGO,东营永安机场-郑州新郑国际机场
ACX,SHE,G52741B,,ACXSHE,,CA4859,TAOKMG,,,,CA4859,TAOKMG,青岛流亭国际机场-昆明长水国际机场
ACX,SZX,DZ6232,,ACXSZX,,CA4737,TAOKMG,,,,CA4737,TAOKMG,青岛流亭国际机场-昆明长水国际机场
ACX,WUH,GJ8818,,ACXWUH,,CA4695,TAOKMG,,,,CA4695,TAOKMG,青岛流亭国际机场-昆明长水国际机场
ACX,XIY,DZ6231,,ACXXIY,,3U5204,TAOKMG,,,,3U5204,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AEB,CAN,GX8915,,AEBCAN,,3U5202,TAOKMG,,,,3U5202,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AEB,CKG,G52728,,AEBCKG,,3U5200,TAOKMG,,,,3U5200,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AEB,CKG,MU5494,,AEBCKG,,3U1029,TAOKMG,,,,3U1029,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AEB,CSX,GX8916,,AEBCSX,,3U1031,TAOKMG,,,,3U1031,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AEB,HAK,GX8920,,AEBHAK,,3U1033,TAOKMG,,,,3U1033,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AEB,KWL,G52727,,AEBKWL,,MU5497,TAOKMG,,,,MU5497,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AEB,SZX,BK2860,,AEBSZX,,MU5479,TAOKMG,,,,MU5479,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,CGO,CZ8741,,AKUCGO,,8L9870,TAOKMG,,,,8L9870,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,CGO,PN6250,,AKUCGO,,QW9801,TAOKMG,,,,QW9801,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,CKG,CA4576,,AKUCKG,,MU5870,TAOKMG,,,,MU5870,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,CTU,CA4244,,AKUCTU,,DR6562,TAOKMG,,,,DR6562,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,CTU,CA4434,,AKUCTU,,SC8829,TAOKMG,,,,SC8829,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,HGH,CZ6919,,AKUHGH,,SC4859,TAOKMG,,,,SC4859,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,HTN,CZ8613,,AKUHTN,,SC4737,TAOKMG,,,,SC4737,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,KHG,CZ8742,,AKUKHG,,3U8108,TAOKMG,,,,3U8108,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,PEK,CA1276,,AKUPEK,,SC4695,TAOKMG,,,,SC4695,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,TAO,SC8816,,AKUTAO,,MU5279,TAOKMG,,,,MU5279,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,URC,CA1276,,AKUURC,,MF3037,TAOKMG,,,,MF3037,TAOKMG,青岛流亭国际机场-昆明长水国际机场
